,review,pos_neg
1972,"If act film, glad gonna drift away earth far possible!",0
876,Excellent dual-purpose headset.,1
1736,That done second movie.,0
2502,Cant say enough good things place.,1
1705,One worst shows time.,0
76,Do Not Buy D807...wrongly advertised D807.,0
2393,We walked away stuffed happy first Vegas buffet experience.,1
1463,But premise film ridiculous: President U.S.,0
181,I've bluetoooth headset time still comfortable way fits ear.,0
2590,Great place fo take eat in.,1
808,2 thumbs seller,1
1333,Started watching believe characters.,0
383,After trying many many handsfree gadgets one finally works well.,1
2648,Great food.,1
2831,Very poor service.,0
2796,"The chips salsa really good, salsa fresh.",1
1519,Final Word: This Show real torture!!,0
1448,My 8/10 score mostly plot.,1
2734,They also serve Indian naan bread hummus spicy pine nut sauce world.,1
2500,"I also taste Mom's multi-grain pumpkin pancakes pecan butter amazing, fluffy, delicious!",1
919,"Saggy, floppy piece junk.",0
2554,"However, recent experience particular location good.",0
1480,The acting whole cast could put scale balanced perfectly overacting underacting.,0
2891,Their rotating beers tap also highlight place.,1
1836,Lot holes plot: there's nothing became emperor; nothing spend 20 years childhood mature age.,0
261,Only month worked flawlessly far.,1
361,"Also, phone dropped, case going save it, specially dropped face down.",0
1379,Lucy Bell much higher crap sink low quite depressing.,0
2808,"Lastly, mozzarella sticks, best thing ordered.",1
551,Thank great service.,1
1450,"Wow, bad film.",0
607,Sprint charges service.,0
329,Rip off---- Over charge shipping.,0
130,It small even realize getting used it.,1
2634,Ordered burger rare came we'll done.,0
67,It feels comfortable headsets I wear glasses gets way sometimes.,1
689,Works well.,1
2807,Not single employee came see OK even needed water refill finally served us food.,0
2365,"I find wasting food despicable, food.",0
38,The case great works fine 680.,1
1565,"This convention never worked well past, certainly work here.",0
2535,An excellent new restaurant experienced Frenchman.,1
1466,"Whatever producer going for, missed entirely.",0
1849,It's like bad two hour TV movie.,0
570,"My experience terrible..... This fourth bluetooth headset, much comfortable last Jabra (which I HATED!!!",0
230,The battery completely useless me.,0
1768,PS scene movie cool central character finds room blown up.,1
2763,But service beyond bad.,0
1879,Dee Snider plain sucks.,0
939,"I like fact rests lightly ear, rather inside.",1
2114,Good prices.,1
157,This item fantastic works perfectly!,1
2369,He deserves 5 stars.,1
1091,The problem script.,0
2562,A good time!,1
1162,Awful.,0
432,Low Quality.,0
2670,dont go here.,0
1929,The movie completely perfect 'Titta Di Girolamo' stay long time vision movie.,1
238,I excited get headset I thought really cute.,1
2550,"I really recommend place, go wrong donut place!",1
515,Mobile Phone Tools must have.,1
2270,The Veggitarian platter world!,1
333,"It fits comfortably either ear, sound clear loud, charge lasts couple days.",1
2218,Which small worth price.,0
207,I've nearly 2 years worked great me.,1
1079,"He amazing film artist, one important whoever lived.",1
342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
1957,"It showed exactly government scientist argued humanity reasons ""gadget"".",1
1393,Having humour get get day apt.,1
679,The volume ringer REAL good (you choices loud).,1
2006,Honeslty taste THAT fresh.),0
890,The speaker low quality making ring tones sound cheap.,0
2115,Check out.,1
1058,Anne Heche utterly convincing.,1
1275,"The performances real gripping, crocdodile extremely well done, indeed Black Water website believed that's used real crocs swamp location fabulous.",1
2765,Tasted like dirt.,0
1084,"Plus, well-paced suited relatively short run time.",1
477,The volume switch rocketed unit destination unknown.,0
2901,Their regular toasted bread equally satisfying occasional pats butter... Mmmm...!,1
773,The reception generally good.,1
2615,The cow tongue cheek tacos amazing.,1
1712,"Stanwyck Morgan perfectly cast is, many ways, modern equivalent Dickens' Christmas Carol sensibility.",1
511,You never know pushed hard enough right number times function want not.,0
977,":-)Oh, charger seems work fine.",1
2260,I hope place sticks around.,1
247,Nice headphones price work great!,1
534,Great case price!,1
490,This PDA rocks.,1
616,Poor product.,0
893,Bad Reception.,0
308,My 5-year old Nokia 2160 Tracfone holds charge lot better this.,0
1382,"I think wonderful parts (literally, full ""wonder"") excerpts works.",1
20,"I went Motorola's website followed directions, could get pair again.",0
1486,Overall I rate movie 10 1-10 scale.,1
128,"I've bluetooth weeks, I really like it.",1
1973,"This one wants surf small wave space movies 1998 (Deep Impact Armageddon), one fails everywhere.",0
1152,It BORING!,0
1687,10 10 stars.,1
2524,Those burgers amazing.,1
2152,We waited forty five minutes vain.,0
2438,Wow spicy delicious.,1
2544,"No, I'm going eat potato I found strangers hair it.",0
543,Don't buy product.,0
1345,Babie Bop cute.,1
430,Fantastic earphones.,1
2327,"They could serve vinaigrette may make better overall dish, still good.",1
2651,Great place relax awesome burger beer.,1
1048,"But whatever cost much, translate quality, that's sure.",0
187,Great phone!.,1
2494,Their daily specials always hit group.,1
2333,Everything gross.,0
547,Trying make call exercise frustration.,0
274,Avoid one can.,0
1260,I came feeling angry.,0
2667,And chef generous time (even came around twice take pictures him).,1
1527,And enough mess movie - picture also marred constant use studio sets indoor exteriors.,0
208,Good transmit audio.,1
2631,The roast beef sandwich tasted really good!,1
2321,"Also, fries without doubt worst fries I've ever had.",0
1201,The movie I received great quality film age.,1
2907,The chips sals amazing!!!!!!!!!!!!!!!!!!!,1
33,I two years left contract I hate phone.,0
2276,I liked patio service outstanding.,1
2466,I think I'll running back Carly's anytime soon food.,0
2406,I'll definitely soon again.,1
1699,") bad performance plays Angela Bennett, computer expert home time.",0
1589,"Beware: trashy cult movie, trash -period!",0
374,Not good item.. It worked started problems auto reverse tape player.,0
227,I'm bit disappointed.,0
2857,Some may say buffet pricey I think get pay place getting quite lot!,1
1307,All beautiful directed film Nicola's roeg wih sublime cast.,1
2637,"I proven dead wrong sushi bar, quality great, service fast food, impeccable.",1
771,"VERY cheap plastic, creaks like old wooden floor.",0
1174,This film redeeming features.,0
558,Virgin Wireless rocks cheap little phone!,1
1015,"It average acting main person, low budget clearly see.",0
685,Easy pair Samsung Cell.,1
1802,Star Trek V The final Frontier worst series.,0
2588,"My breakfast perpared great, beautiful presentation 3 giant slices Toast, lightly dusted powdered sugar.",1
328,AMAZON SUCKS.,0
2935,This place lacked style!!,0
2598,I really enjoyed Crema Café expanded; I even told friends BEST breakfast.,1
2698,"Needless say, never back again.",0
1,"Good case, Excellent value.",1
2559,I *heart* place.,1
2800,I'm super pissd.,0
364,It definitely good S11.,1
1653,Excellent performance.,1
1001,"Not sure lost - flat characters audience, nearly half walked out.",0
262,Works great.,1
1903,"There is, however, pretty good acting (at least, type film).",1
320,I also happy price.,1
696,The phone also take great pictures even video clips.,1
653,Utter crap.. Sound quality TERRIBLE.,0
2499,Waitress sweet funny.,1
665,I could recommend more.,0
2447,Sauce tasteless.,0
229,I ordered sony Ericsson W810i I think worked (thats I first used it).,0
330,VERY comfortable.,1
850,It looks nice.,1
2070,"The deal included 5 tastings 2 drinks, Jeff went beyond expected.",1
1011,"The movie showed lot Florida best, made look appealing.",1
1293,Kieslowski never ceases amaze me.,1
2206,I've lived since 1979 first (and last) time I've stepped foot place.,0
2543,I try going back even empty.,0
2877,Go To Place Gyros.,1
1370,The jerky camera movements also annoying.,0
710,Can't store anything phone numbers SIM.,0
2787,"I many words say place, everything pretty well.",1
1197,This movie BAD.,0
2058,"The salad right amount sauce power scallop, perfectly cooked.",1
1177,The story beyond stupid.,0
479,I'd like return it.,0
2498,Their monster chicken fried steak eggs time favorite.,1
2291,Just know slow.,0
2703,Our server nice attentive serving staff.,1
917,Leopard Print wonderfully wild!.,1
2444,Each day week different deal delicious!,1
444,"I would recommend purchasing Jabra JX-10 series 2 works flawlessly Moto Q, go figure.",1
